Transaction,Item,date_time,period_day,weekday_weekend,Date,Month,Hour,Day_Name
18,Farm House,2016-10-30 10:41:00,morning,weekend,2016-10-30,10,10,Sunday
19,Farm House,2016-10-30 10:43:00,morning,weekend,2016-10-30,10,10,Sunday
19,Bread,2016-10-30 10:43:00,morning,weekend,2016-10-30,10,10,Sunday
20,Bread,2016-10-30 10:45:00,morning,weekend,2016-10-30,10,10,Sunday
20,Medialuna,2016-10-30 10:45:00,morning,weekend,2016-10-30,10,10,Sunday
21,Coffee,2016-10-30 10:49:00,morning,weekend,2016-10-30,10,10,Sunday
21,Medialuna,2016-10-30 10:49:00,morning,weekend,2016-10-30,10,10,Sunday
21,Bread,2016-10-30 10:49:00,morning,weekend,2016-10-30,10,10,Sunday
22,Jam,2016-10-30 10:52:00,morning,weekend,2016-10-30,10,10,Sunday
23,Scandinavian,2016-10-30 10:53:00,morning,weekend,2016-10-30,10,10,Sunday
23,Muffin,2016-10-30 10:53:00,morning,weekend,2016-10-30,10,10,Sunday
24,Bread,2016-10-30 10:54:00,morning,weekend,2016-10-30,10,10,Sunday
25,Scandinavian,2016-10-30 10:55:00,morning,weekend,2016-10-30,10,10,Sunday
26,Fudge,2016-10-30 10:56:00,morning,weekend,2016-10-30,10,10,Sunday
27,Scandinavian,2016-10-30 11:02:00,morning,weekend,2016-10-30,10,11,Sunday
28,Coffee,2016-10-30 11:03:00,morning,weekend,2016-10-30,10,11,Sunday
28,Bread,2016-10-30 11:03:00,morning,weekend,2016-10-30,10,11,Sunday
29,Bread,2016-10-30 11:05:00,morning,weekend,2016-10-30,10,11,Sunday
29,Jam,2016-10-30 11:05:00,morning,weekend,2016-10-30,10,11,Sunday
30,Bread,2016-10-30 11:07:00,morning,weekend,2016-10-30,10,11,Sunday
31,Basket,2016-10-30 11:12:00,morning,weekend,2016-10-30,10,11,Sunday
32,Scandinavian,2016-10-30 11:16:00,morning,weekend,2016-10-30,10,11,Sunday
32,Muffin,2016-10-30 11:16:00,morning,weekend,2016-10-30,10,11,Sunday
33,Coffee,2016-10-30 11:22:00,morning,weekend,2016-10-30,10,11,Sunday
34,Coffee,2016-10-30 11:25:00,morning,weekend,2016-10-30,10,11,Sunday
34,Muffin,2016-10-30 11:25:00,morning,weekend,2016-10-30,10,11,Sunday
35,Muffin,2016-10-30 11:27:00,morning,weekend,2016-10-30,10,11,Sunday
35,Scandinavian,2016-10-30 11:27:00,morning,weekend,2016-10-30,10,11,Sunday
36,Tea,2016-10-30 11:33:00,morning,weekend,2016-10-30,10,11,Sunday
36,Bread,2016-10-30 11:33:00,morning,weekend,2016-10-30,10,11,Sunday
37,Coffee,2016-10-30 11:37:00,morning,weekend,2016-10-30,10,11,Sunday
37,Bread,2016-10-30 11:37:00,morning,weekend,2016-10-30,10,11,Sunday
38,Bread,2016-10-30 11:42:00,morning,weekend,2016-10-30,10,11,Sunday
38,Tea,2016-10-30 11:42:00,morning,weekend,2016-10-30,10,11,Sunday
39,Scandinavian,2016-10-30 11:44:00,morning,weekend,2016-10-30,10,11,Sunday
40,Juice,2016-10-30 11:55:00,morning,weekend,2016-10-30,10,11,Sunday
40,Tartine,2016-10-30 11:55:00,morning,weekend,2016-10-30,10,11,Sunday
40,Coffee,2016-10-30 11:55:00,morning,weekend,2016-10-30,10,11,Sunday
40,Muffin,2016-10-30 11:55:00,morning,weekend,2016-10-30,10,11,Sunday
41,Scandinavian,2016-10-30 11:57:00,morning,weekend,2016-10-30,10,11,Sunday
42,Bread,2016-10-30 11:57:00,morning,weekend,2016-10-30,10,11,Sunday
42,Tea,2016-10-30 11:57:00,morning,weekend,2016-10-30,10,11,Sunday
43,Scandinavian,2016-10-30 12:00:00,afternoon,weekend,2016-10-30,10,12,Sunday
43,Fudge,2016-10-30 12:00:00,afternoon,weekend,2016-10-30,10,12,Sunday
44,Coffee,2016-10-30 12:05:00,afternoon,weekend,2016-10-30,10,12,Sunday
44,Medialuna,2016-10-30 12:05:00,afternoon,weekend,2016-10-30,10,12,Sunday
45,Coffee,2016-10-30 12:08:00,afternoon,weekend,2016-10-30,10,12,Sunday
45,Hot Chocolate,2016-10-30 12:08:00,afternoon,weekend,2016-10-30,10,12,Sunday
45,Medialuna,2016-10-30 12:08:00,afternoon,weekend,2016-10-30,10,12,Sunday
46,Coffee,2016-10-30 12:09:00,afternoon,weekend,2016-10-30,10,12,Sunday
47,Ella'S Kitchen Pouches,2016-10-30 12:15:00,afternoon,weekend,2016-10-30,10,12,Sunday
47,Juice,2016-10-30 12:15:00,afternoon,weekend,2016-10-30,10,12,Sunday
47,Bread,2016-10-30 12:15:00,afternoon,weekend,2016-10-30,10,12,Sunday
47,Muffin,2016-10-30 12:15:00,afternoon,weekend,2016-10-30,10,12,Sunday
47,Jam,2016-10-30 12:15:00,afternoon,weekend,2016-10-30,10,12,Sunday
48,Coffee,2016-10-30 12:17:00,afternoon,weekend,2016-10-30,10,12,Sunday
49,Coffee,2016-10-30 12:23:00,afternoon,weekend,2016-10-30,10,12,Sunday
49,Medialuna,2016-10-30 12:23:00,afternoon,weekend,2016-10-30,10,12,Sunday
50,Bread,2016-10-30 12:25:00,afternoon,weekend,2016-10-30,10,12,Sunday
50,Victorian Sponge,2016-10-30 12:25:00,afternoon,weekend,2016-10-30,10,12,Sunday
51,Bread,2016-10-30 12:26:00,afternoon,weekend,2016-10-30,10,12,Sunday
52,Scandinavian,2016-10-30 12:28:00,afternoon,weekend,2016-10-30,10,12,Sunday
54,Bread,2016-10-30 12:33:00,afternoon,weekend,2016-10-30,10,12,Sunday
55,Frittata,2016-10-30 12:38:00,afternoon,weekend,2016-10-30,10,12,Sunday
55,Coffee,2016-10-30 12:38:00,afternoon,weekend,2016-10-30,10,12,Sunday
55,Tea,2016-10-30 12:38:00,afternoon,weekend,2016-10-30,10,12,Sunday
55,Hearty & Seasonal,2016-10-30 12:38:00,afternoon,weekend,2016-10-30,10,12,Sunday
56,Coffee,2016-10-30 12:39:00,afternoon,weekend,2016-10-30,10,12,Sunday
56,Frittata,2016-10-30 12:39:00,afternoon,weekend,2016-10-30,10,12,Sunday
57,Scandinavian,2016-10-30 12:45:00,afternoon,weekend,2016-10-30,10,12,Sunday
58,Victorian Sponge,2016-10-30 12:59:00,afternoon,weekend,2016-10-30,10,12,Sunday
58,Hot Chocolate,2016-10-30 12:59:00,afternoon,weekend,2016-10-30,10,12,Sunday
58,Tea,2016-10-30 12:59:00,afternoon,weekend,2016-10-30,10,12,Sunday
58,Soup,2016-10-30 12:59:00,afternoon,weekend,2016-10-30,10,12,Sunday
59,Tea,2016-10-30 13:02:00,afternoon,weekend,2016-10-30,10,13,Sunday
60,Cookies,2016-10-30 13:14:00,afternoon,weekend,2016-10-30,10,13,Sunday
60,Coffee,2016-10-30 13:14:00,afternoon,weekend,2016-10-30,10,13,Sunday
60,Juice,2016-10-30 13:14:00,afternoon,weekend,2016-10-30,10,13,Sunday
61,Coffee,2016-10-30 13:15:00,afternoon,weekend,2016-10-30,10,13,Sunday
62,Pick And Mix Bowls,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,10,13,Sunday
62,Hearty & Seasonal,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,10,13,Sunday
62,Coffee,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,10,13,Sunday
62,Smoothies,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,10,13,Sunday
63,Coffee,2016-10-30 13:33:00,afternoon,weekend,2016-10-30,10,13,Sunday
64,Cake,2016-10-30 13:34:00,afternoon,weekend,2016-10-30,10,13,Sunday
65,Tartine,2016-10-30 13:37:00,afternoon,weekend,2016-10-30,10,13,Sunday
65,Mighty Protein,2016-10-30 13:37:00,afternoon,weekend,2016-10-30,10,13,Sunday
65,Tea,2016-10-30 13:37:00,afternoon,weekend,2016-10-30,10,13,Sunday
65,Coffee,2016-10-30 13:37:00,afternoon,weekend,2016-10-30,10,13,Sunday
66,Hearty & Seasonal,2016-10-30 13:40:00,afternoon,weekend,2016-10-30,10,13,Sunday
66,Frittata,2016-10-30 13:40:00,afternoon,weekend,2016-10-30,10,13,Sunday
66,Mineral Water,2016-10-30 13:40:00,afternoon,weekend,2016-10-30,10,13,Sunday
67,Hearty & Seasonal,2016-10-30 13:46:00,afternoon,weekend,2016-10-30,10,13,Sunday
67,Mineral Water,2016-10-30 13:46:00,afternoon,weekend,2016-10-30,10,13,Sunday
67,Muffin,2016-10-30 13:46:00,afternoon,weekend,2016-10-30,10,13,Sunday
68,Frittata,2016-10-30 13:49:00,afternoon,weekend,2016-10-30,10,13,Sunday
68,Coffee,2016-10-30 13:49:00,afternoon,weekend,2016-10-30,10,13,Sunday
68,Tea,2016-10-30 13:49:00,afternoon,weekend,2016-10-30,10,13,Sunday
68,Scandinavian,2016-10-30 13:49:00,afternoon,weekend,2016-10-30,10,13,Sunday
68,Chicken Sand,2016-10-30 13:49:00,afternoon,weekend,2016-10-30,10,13,Sunday
69,Bread,2016-10-30 13:51:00,afternoon,weekend,2016-10-30,10,13,Sunday
69,Tea,2016-10-30 13:51:00,afternoon,weekend,2016-10-30,10,13,Sunday
69,Victorian Sponge,2016-10-30 13:51:00,afternoon,weekend,2016-10-30,10,13,Sunday
70,Fudge,2016-10-30 13:54:00,afternoon,weekend,2016-10-30,10,13,Sunday
71,Muffin,2016-10-30 13:56:00,afternoon,weekend,2016-10-30,10,13,Sunday
72,Coffee,2016-10-30 14:21:00,afternoon,weekend,2016-10-30,10,14,Sunday
72,Bread,2016-10-30 14:21:00,afternoon,weekend,2016-10-30,10,14,Sunday
73,Bread,2016-10-30 14:22:00,afternoon,weekend,2016-10-30,10,14,Sunday
74,Coffee,2016-10-30 14:24:00,afternoon,weekend,2016-10-30,10,14,Sunday
74,Bread,2016-10-30 14:24:00,afternoon,weekend,2016-10-30,10,14,Sunday
75,Jam,2016-10-30 14:32:00,afternoon,weekend,2016-10-30,10,14,Sunday
75,Frittata,2016-10-30 14:32:00,afternoon,weekend,2016-10-30,10,14,Sunday
76,Coffee,2016-10-30 14:32:00,afternoon,weekend,2016-10-30,10,14,Sunday
77,Scandinavian,2016-10-30 14:35:00,afternoon,weekend,2016-10-30,10,14,Sunday
78,Fudge,2016-10-30 14:42:00,afternoon,weekend,2016-10-30,10,14,Sunday
79,Fudge,2016-10-30 14:45:00,afternoon,weekend,2016-10-30,10,14,Sunday
79,Tea,2016-10-30 14:45:00,afternoon,weekend,2016-10-30,10,14,Sunday
79,Coffee,2016-10-30 14:45:00,afternoon,weekend,2016-10-30,10,14,Sunday
79,Muffin,2016-10-30 14:45:00,afternoon,weekend,2016-10-30,10,14,Sunday
80,Frittata,2016-10-30 14:48:00,afternoon,weekend,2016-10-30,10,14,Sunday
80,Bread,2016-10-30 14:48:00,afternoon,weekend,2016-10-30,10,14,Sunday
80,Coffee,2016-10-30 14:48:00,afternoon,weekend,2016-10-30,10,14,Sunday
81,Coffee,2016-10-31 08:28:00,morning,weekday,2016-10-31,10,8,Monday
81,Cake,2016-10-31 08:28:00,morning,weekday,2016-10-31,10,8,Monday
82,Tartine,2016-10-31 08:47:00,morning,weekday,2016-10-31,10,8,Monday
82,Bread,2016-10-31 08:47:00,morning,weekday,2016-10-31,10,8,Monday
83,Coffee,2016-10-31 08:57:00,morning,weekday,2016-10-31,10,8,Monday
83,Bread,2016-10-31 08:57:00,morning,weekday,2016-10-31,10,8,Monday
84,Bread,2016-10-31 09:04:00,morning,weekday,2016-10-31,10,9,Monday
85,Coffee,2016-10-31 09:10:00,morning,weekday,2016-10-31,10,9,Monday
85,Pastry,2016-10-31 09:10:00,morning,weekday,2016-10-31,10,9,Monday
85,Medialuna,2016-10-31 09:10:00,morning,weekday,2016-10-31,10,9,Monday
86,Juice,2016-10-31 09:11:00,morning,weekday,2016-10-31,10,9,Monday
87,Bread,2016-10-31 09:12:00,morning,weekday,2016-10-31,10,9,Monday
88,Coffee,2016-10-31 09:16:00,morning,weekday,2016-10-31,10,9,Monday
88,Jam,2016-10-31 09:16:00,morning,weekday,2016-10-31,10,9,Monday
89,Bread,2016-10-31 09:19:00,morning,weekday,2016-10-31,10,9,Monday
90,Bread,2016-10-31 09:20:00,morning,weekday,2016-10-31,10,9,Monday
90,Coffee,2016-10-31 09:20:00,morning,weekday,2016-10-31,10,9,Monday
91,Tea,2016-10-31 09:22:00,morning,weekday,2016-10-31,10,9,Monday
92,Coffee,2016-10-31 09:27:00,morning,weekday,2016-10-31,10,9,Monday
93,Bread,2016-10-31 09:29:00,morning,weekday,2016-10-31,10,9,Monday
93,Coke,2016-10-31 09:29:00,morning,weekday,2016-10-31,10,9,Monday
94,Coffee,2016-10-31 09:39:00,morning,weekday,2016-10-31,10,9,Monday
95,Tea,2016-10-31 09:43:00,morning,weekday,2016-10-31,10,9,Monday
95,Pastry,2016-10-31 09:43:00,morning,weekday,2016-10-31,10,9,Monday
95,Farm House,2016-10-31 09:43:00,morning,weekday,2016-10-31,10,9,Monday
96,Pastry,2016-10-31 09:46:00,morning,weekday,2016-10-31,10,9,Monday
96,Coffee,2016-10-31 09:46:00,morning,weekday,2016-10-31,10,9,Monday
96,Juice,2016-10-31 09:46:00,morning,weekday,2016-10-31,10,9,Monday
97,Coffee,2016-10-31 09:51:00,morning,weekday,2016-10-31,10,9,Monday
97,Pastry,2016-10-31 09:51:00,morning,weekday,2016-10-31,10,9,Monday
97,Juice,2016-10-31 09:51:00,morning,weekday,2016-10-31,10,9,Monday
98,Farm House,2016-10-31 09:52:00,morning,weekday,2016-10-31,10,9,Monday
99,Pastry,2016-10-31 09:56:00,morning,weekday,2016-10-31,10,9,Monday
99,Coffee,2016-10-31 09:56:00,morning,weekday,2016-10-31,10,9,Monday
99,Bread,2016-10-31 09:56:00,morning,weekday,2016-10-31,10,9,Monday
100,Bread,2016-10-31 09:58:00,morning,weekday,2016-10-31,10,9,Monday
101,Coffee,2016-10-31 10:04:00,morning,weekday,2016-10-31,10,10,Monday
101,Pastry,2016-10-31 10:04:00,morning,weekday,2016-10-31,10,10,Monday
102,Farm House,2016-10-31 10:04:00,morning,weekday,2016-10-31,10,10,Monday
103,Bread,2016-10-31 10:07:00,morning,weekday,2016-10-31,10,10,Monday
104,Coffee,2016-10-31 10:12:00,morning,weekday,2016-10-31,10,10,Monday
104,Medialuna,2016-10-31 10:12:00,morning,weekday,2016-10-31,10,10,Monday
104,Muffin,2016-10-31 10:12:00,morning,weekday,2016-10-31,10,10,Monday
105,Coffee,2016-10-31 10:21:00,morning,weekday,2016-10-31,10,10,Monday
105,Tea,2016-10-31 10:21:00,morning,weekday,2016-10-31,10,10,Monday
105,Cake,2016-10-31 10:21:00,morning,weekday,2016-10-31,10,10,Monday
106,Coffee,2016-10-31 10:24:00,morning,weekday,2016-10-31,10,10,Monday
106,Pastry,2016-10-31 10:24:00,morning,weekday,2016-10-31,10,10,Monday
107,Coffee,2016-10-31 10:27:00,morning,weekday,2016-10-31,10,10,Monday
107,Tea,2016-10-31 10:27:00,morning,weekday,2016-10-31,10,10,Monday
108,Farm House,2016-10-31 10:31:00,morning,weekday,2016-10-31,10,10,Monday
108,Muffin,2016-10-31 10:31:00,morning,weekday,2016-10-31,10,10,Monday
109,Bread,2016-10-31 10:35:00,morning,weekday,2016-10-31,10,10,Monday
109,Muffin,2016-10-31 10:35:00,morning,weekday,2016-10-31,10,10,Monday
109,Pastry,2016-10-31 10:35:00,morning,weekday,2016-10-31,10,10,Monday
110,Pastry,2016-10-31 10:36:00,morning,weekday,2016-10-31,10,10,Monday
111,Coffee,2016-10-31 10:38:00,morning,weekday,2016-10-31,10,10,Monday
112,Coffee,2016-10-31 10:59:00,morning,weekday,2016-10-31,10,10,Monday
113,Coffee,2016-10-31 11:02:00,morning,weekday,2016-10-31,10,11,Monday
113,Cake,2016-10-31 11:02:00,morning,weekday,2016-10-31,10,11,Monday
114,Farm House,2016-10-31 11:05:00,morning,weekday,2016-10-31,10,11,Monday
115,Bread,2016-10-31 11:08:00,morning,weekday,2016-10-31,10,11,Monday
116,Coffee,2016-10-31 11:11:00,morning,weekday,2016-10-31,10,11,Monday
117,Cookies,2016-10-31 11:13:00,morning,weekday,2016-10-31,10,11,Monday
117,Cake,2016-10-31 11:13:00,morning,weekday,2016-10-31,10,11,Monday
117,Coffee,2016-10-31 11:13:00,morning,weekday,2016-10-31,10,11,Monday
117,My-5 Fruit Shoot,2016-10-31 11:13:00,morning,weekday,2016-10-31,10,11,Monday
118,Cookies,2016-10-31 11:18:00,morning,weekday,2016-10-31,10,11,Monday
118,Tea,2016-10-31 11:18:00,morning,weekday,2016-10-31,10,11,Monday
118,Pastry,2016-10-31 11:18:00,morning,weekday,2016-10-31,10,11,Monday
119,Coffee,2016-10-31 11:25:00,morning,weekday,2016-10-31,10,11,Monday
119,Muffin,2016-10-31 11:25:00,morning,weekday,2016-10-31,10,11,Monday
120,Farm House,2016-10-31 11:29:00,morning,weekday,2016-10-31,10,11,Monday
121,Coffee,2016-10-31 11:30:00,morning,weekday,2016-10-31,10,11,Monday
121,Bread,2016-10-31 11:30:00,morning,weekday,2016-10-31,10,11,Monday
122,Cookies,2016-10-31 11:37:00,morning,weekday,2016-10-31,10,11,Monday
123,Jam,2016-10-31 11:42:00,morning,weekday,2016-10-31,10,11,Monday
123,Coffee,2016-10-31 11:42:00,morning,weekday,2016-10-31,10,11,Monday
123,Juice,2016-10-31 11:42:00,morning,weekday,2016-10-31,10,11,Monday
124,Coffee,2016-10-31 11:43:00,morning,weekday,2016-10-31,10,11,Monday
124,Soup,2016-10-31 11:43:00,morning,weekday,2016-10-31,10,11,Monday
125,Tea,2016-10-31 11:47:00,morning,weekday,2016-10-31,10,11,Monday
126,Coffee,2016-10-31 11:52:00,morning,weekday,2016-10-31,10,11,Monday
126,Jam,2016-10-31 11:52:00,morning,weekday,2016-10-31,10,11,Monday
127,Farm House,2016-10-31 11:53:00,morning,weekday,2016-10-31,10,11,Monday
128,Tartine,2016-10-31 11:55:00,morning,weekday,2016-10-31,10,11,Monday
128,Coffee,2016-10-31 11:55:00,morning,weekday,2016-10-31,10,11,Monday
128,Tea,2016-10-31 11:55:00,morning,weekday,2016-10-31,10,11,Monday
129,Coffee,2016-10-31 11:59:00,morning,weekday,2016-10-31,10,11,Monday
129,Cake,2016-10-31 11:59:00,morning,weekday,2016-10-31,10,11,Monday
130,Coffee,2016-10-31 12:03:00,afternoon,weekday,2016-10-31,10,12,Monday
130,Muffin,2016-10-31 12:03:00,afternoon,weekday,2016-10-31,10,12,Monday
131,Bread,2016-10-31 12:08:00,afternoon,weekday,2016-10-31,10,12,Monday
131,Coffee,2016-10-31 12:08:00,afternoon,weekday,2016-10-31,10,12,Monday
132,Tea,2016-10-31 12:14:00,afternoon,weekday,2016-10-31,10,12,Monday
132,Juice,2016-10-31 12:14:00,afternoon,weekday,2016-10-31,10,12,Monday
132,Pick And Mix Bowls,2016-10-31 12:14:00,afternoon,weekday,2016-10-31,10,12,Monday
132,Cookies,2016-10-31 12:14:00,afternoon,weekday,2016-10-31,10,12,Monday
133,Hearty & Seasonal,2016-10-31 12:16:00,afternoon,weekday,2016-10-31,10,12,Monday
133,Soup,2016-10-31 12:16:00,afternoon,weekday,2016-10-31,10,12,Monday
134,Hearty & Seasonal,2016-10-31 12:19:00,afternoon,weekday,2016-10-31,10,12,Monday
134,Tea,2016-10-31 12:19:00,afternoon,weekday,2016-10-31,10,12,Monday
134,Farm House,2016-10-31 12:19:00,afternoon,weekday,2016-10-31,10,12,Monday
135,Bread,2016-10-31 12:20:00,afternoon,weekday,2016-10-31,10,12,Monday
136,Tea,2016-10-31 12:27:00,afternoon,weekday,2016-10-31,10,12,Monday
136,Soup,2016-10-31 12:27:00,afternoon,weekday,2016-10-31,10,12,Monday
137,Farm House,2016-10-31 12:37:00,afternoon,weekday,2016-10-31,10,12,Monday
138,Soup,2016-10-31 12:43:00,afternoon,weekday,2016-10-31,10,12,Monday
138,Hearty & Seasonal,2016-10-31 12:43:00,afternoon,weekday,2016-10-31,10,12,Monday
138,Coffee,2016-10-31 12:43:00,afternoon,weekday,2016-10-31,10,12,Monday
139,Bread,2016-10-31 12:50:00,afternoon,weekday,2016-10-31,10,12,Monday
139,Muffin,2016-10-31 12:50:00,afternoon,weekday,2016-10-31,10,12,Monday
139,Hearty & Seasonal,2016-10-31 12:50:00,afternoon,weekday,2016-10-31,10,12,Monday
140,Coffee,2016-10-31 12:53:00,afternoon,weekday,2016-10-31,10,12,Monday
140,Cookies,2016-10-31 12:53:00,afternoon,weekday,2016-10-31,10,12,Monday
141,Bread,2016-10-31 12:54:00,afternoon,weekday,2016-10-31,10,12,Monday
142,Tea,2016-10-31 12:56:00,afternoon,weekday,2016-10-31,10,12,Monday
142,Muffin,2016-10-31 12:56:00,afternoon,weekday,2016-10-31,10,12,Monday
143,Tea,2016-10-31 12:59:00,afternoon,weekday,2016-10-31,10,12,Monday
144,Soup,2016-10-31 13:02:00,afternoon,weekday,2016-10-31,10,13,Monday
144,Hearty & Seasonal,2016-10-31 13:02:00,afternoon,weekday,2016-10-31,10,13,Monday
145,Coffee,2016-10-31 13:05:00,afternoon,weekday,2016-10-31,10,13,Monday
145,Tea,2016-10-31 13:05:00,afternoon,weekday,2016-10-31,10,13,Monday
145,Focaccia,2016-10-31 13:05:00,afternoon,weekday,2016-10-31,10,13,Monday
146,Sandwich,2016-10-31 13:08:00,afternoon,weekday,2016-10-31,10,13,Monday
147,Tartine,2016-10-31 13:09:00,afternoon,weekday,2016-10-31,10,13,Monday
147,Coffee,2016-10-31 13:09:00,afternoon,weekday,2016-10-31,10,13,Monday
148,Fudge,2016-10-31 13:21:00,afternoon,weekday,2016-10-31,10,13,Monday
148,Coffee,2016-10-31 13:21:00,afternoon,weekday,2016-10-31,10,13,Monday
149,Coffee,2016-10-31 13:26:00,afternoon,weekday,2016-10-31,10,13,Monday
150,Bread,2016-10-31 13:31:00,afternoon,weekday,2016-10-31,10,13,Monday
151,Coke,2016-10-31 13:50:00,afternoon,weekday,2016-10-31,10,13,Monday
151,Soup,2016-10-31 13:50:00,afternoon,weekday,2016-10-31,10,13,Monday
152,Muffin,2016-10-31 13:51:00,afternoon,weekday,2016-10-31,10,13,Monday
153,Tea,2016-10-31 13:55:00,afternoon,weekday,2016-10-31,10,13,Monday
153,Coffee,2016-10-31 13:55:00,afternoon,weekday,2016-10-31,10,13,Monday
153,Cookies,2016-10-31 13:55:00,afternoon,weekday,2016-10-31,10,13,Monday
153,Muffin,2016-10-31 13:55:00,afternoon,weekday,2016-10-31,10,13,Monday
154,Mighty Protein,2016-10-31 14:00:00,afternoon,weekday,2016-10-31,10,14,Monday
154,Hearty & Seasonal,2016-10-31 14:00:00,afternoon,weekday,2016-10-31,10,14,Monday
154,Coffee,2016-10-31 14:00:00,afternoon,weekday,2016-10-31,10,14,Monday
154,Coke,2016-10-31 14:00:00,afternoon,weekday,2016-10-31,10,14,Monday
155,Tea,2016-10-31 14:01:00,afternoon,weekday,2016-10-31,10,14,Monday
155,Muffin,2016-10-31 14:01:00,afternoon,weekday,2016-10-31,10,14,Monday
155,Sandwich,2016-10-31 14:01:00,afternoon,weekday,2016-10-31,10,14,Monday
156,Coffee,2016-10-31 14:04:00,afternoon,weekday,2016-10-31,10,14,Monday
156,Muffin,2016-10-31 14:04:00,afternoon,weekday,2016-10-31,10,14,Monday
157,Coffee,2016-10-31 14:05:00,afternoon,weekday,2016-10-31,10,14,Monday
157,Bread,2016-10-31 14:05:00,afternoon,weekday,2016-10-31,10,14,Monday
158,Coffee,2016-10-31 14:20:00,afternoon,weekday,2016-10-31,10,14,Monday
158,Muffin,2016-10-31 14:20:00,afternoon,weekday,2016-10-31,10,14,Monday
159,Bread,2016-10-31 14:22:00,afternoon,weekday,2016-10-31,10,14,Monday
159,Hot Chocolate,2016-10-31 14:22:00,afternoon,weekday,2016-10-31,10,14,Monday
159,Cookies,2016-10-31 14:22:00,afternoon,weekday,2016-10-31,10,14,Monday
160,Mineral Water,2016-10-31 14:35:00,afternoon,weekday,2016-10-31,10,14,Monday
